State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Hispanic or Latino,Other
United States,Distribution of COVID deaths (%),51.9,17.9,0.3,7.1,16.6,6.2
United States,Weighted distribution of population (%),39,18.6,0.3,13.6,26.7,1.9
United States,Unweighted distribution of population (%),60.4,12.5,0.7,5.7,18.3,2.4
California,Distribution of COVID deaths (%),48.1,8,0.4,16.3,26.5,0.8
California,Weighted distribution of population (%),28.9,7.3,0.2,16,45.2,2.4
California,Unweighted distribution of population (%),36.8,5.6,0.4,14.7,39.3,3.1
Colorado,Distribution of COVID deaths (%),76.5,2.6,0,5.2,15.7,0
Colorado,Weighted distribution of population (%),65.3,5.7,0.5,3.8,22,2.7
Colorado,Unweighted distribution of population (%),67.9,4,0.6,3.3,21.7,2.4
Florida,Distribution of COVID deaths (%),64.1,15.7,0,2.7,17,0.4
Florida,Weighted distribution of population (%),36.1,19.2,0.2,2.7,40.5,1.3
Florida,Unweighted distribution of population (%),53.5,15.5,0.3,2.8,26.1,1.7
Louisiana,Distribution of COVID deaths (%),48.2,45.8,0,1.8,4.2,0
Louisiana,Weighted distribution of population (%),48.7,36.1,0.4,3.4,10,1.4
Louisiana,Unweighted distribution of population (%),58.6,32.3,0.6,1.8,5.2,1.5
Massachusetts,Distribution of COVID deaths (%),88.7,2.1,0,2.1,5.2,2.1
Massachusetts,Weighted distribution of population (%),67.1,7.9,0.1,8.9,14.1,1.9
Massachusetts,Unweighted distribution of population (%),71.4,7.2,0.2,7,12.3,1.9
Michigan,Distribution of COVID deaths (%),67,26.6,0,3.2,2.2,1
Michigan,Weighted distribution of population (%),63.8,23.1,0.3,5.7,4.8,2.2
Michigan,Unweighted distribution of population (%),74.9,13.8,0.6,3.3,5.2,2.3
New Jersey,Distribution of COVID deaths (%),65.9,8.9,0,8.3,16.7,0.2
New Jersey,Weighted distribution of population (%),51.4,12.2,0.1,12.7,22.1,1.4
New Jersey,Unweighted distribution of population (%),54.9,12.9,0.1,9.8,20.6,1.6
New York,Distribution of COVID deaths (%),68.6,13.4,0,5,12.1,0.9
New York,Weighted distribution of population (%),61.6,10.8,0.2,7.3,18.7,1.5
New York,Unweighted distribution of population (%),73,8.8,0.3,4.3,11.7,1.8
New York City,Distribution of COVID deaths (%),33.5,20.7,0,8.7,24,13.1
New York City,Weighted distribution of population (%),31.1,22.9,0.2,16.2,27.7,1.9
New York City,Unweighted distribution of population (%),32.1,22,0.2,14.7,29.2,1.8
Pennsylvania,Distribution of COVID deaths (%),70.9,18.2,0,4.5,5,1.4
Pennsylvania,Weighted distribution of population (%),57.2,23.3,0.2,6.5,10.9,1.9
Pennsylvania,Unweighted distribution of population (%),76.1,10.8,0.1,3.6,7.6,1.7
Washington,Distribution of COVID deaths (%),80.2,2.9,0.4,10.4,5.4,0.7
Washington,Weighted distribution of population (%),61.1,6.1,0.7,17.6,10.2,4.4
Washington,Unweighted distribution of population (%),68,3.9,1.3,9.1,12.9,4.8
